server,cpu_mean,cpu_median,cpu_p25,cpu_p75,cpu_max,cpu_std,mem_mean,mem_median,mem_p25,mem_p75,mem_max,mem_std,uptime_ratio,samples_count,cpu_cv,mem_cv,cpu_peak_to_mean,mem_peak_to_mean,cpu_iqr,mem_iqr,cluster
gti-com-hp57.hci.bri.co.id,29.802312138728325,30.05,27.03,32.54,49.46,4.2914898718985235,49.573236994219656,49.9,47.45,51.18,76.66,4.21272434864818,1.0,173,0.14399855460616093,0.08497981177100444,1.6596027774545172,1.54639891699908,5.509999999999998,3.729999999999997,4
gti-com-hp58.hci.bri.co.id,48.022427745664736,48.73,44.33,51.21,71.97,6.10130170077475,50.61606936416185,51.09,48.37,52.54,66.28,3.161075883199689,1.0,173,0.12705108815173446,0.06245202211291921,1.4986747521630068,1.309465567607445,6.880000000000003,4.170000000000002,1
gti-com-hp59.hci.bri.co.id,41.79167630057803,42.09,35.25,47.58,83.38,9.5811044096473,61.45294797687862,61.38,57.93,65.21,77.17,5.39881285213649,1.0,173,0.2292586767933686,0.0878527886761066,1.9951341362884443,1.2557574948078138,12.329999999999998,7.279999999999994,0
gti-com-hp60.hci.bri.co.id,54.075722543352605,53.96,48.04,58.92,100.0,10.450965359517085,48.209537572254334,48.52,45.4,50.83,72.96,4.799709634510717,1.0,173,0.1932653854257523,0.09955933776209994,1.849258693119261,1.5133934834087706,10.880000000000003,5.43,0
gti-com-kjt01.hci.bri.co.id,1.1853757225433526,0.0,0.0,2.17,13.11,1.7392896514763612,4.945549132947977,4.85,3.9,6.2,12.4,1.8371579302426102,1.0,173,1.4672897532813698,0.371477035381813,11.059784463841615,2.5073049860913064,2.17,2.3000000000000003,2
gti-com-kjt02.hci.bri.co.id,0.7591329479768787,0.23,0.0,1.22,16.91,1.0454557533545228,5.38028901734104,5.49,4.73,6.26,11.59,1.2011425896347585,1.0,173,1.3771708317241484,0.22324871131706747,22.27541308155029,2.154159369997529,1.22,1.5299999999999994,2
gti-com-kjt03.hci.bri.co.id,2.147341040462428,0.94,0.0,3.37,20.37,3.0024464606873935,5.594682080924856,5.45,3.68,7.22,15.96,2.7057689311552364,1.0,173,1.3982159350155294,0.48363229438551875,9.486150367439231,2.852709013514072,3.37,3.5399999999999996,2
gti-com-kjt04.hci.bri.co.id,3.0719653179190756,1.21,0.0,5.3,16.61,4.03373314583568,5.659479768786127,5.55,2.67,8.54,15.61,3.768633899965881,1.0,173,1.3130789993970695,0.6658975831579297,5.406962084862169,2.7582040466147135,5.3,5.869999999999999,2
gti-com-lnv01.hci.bri.co.id,43.60734104046242,43.95,39.97,47.42,90.33,7.265314609650516,67.47843930635838,67.85,64.35,70.25,90.61,5.26651261350559,1.0,173,0.16660760404788655,0.07804733878913728,2.071440217283244,1.342799284207244,7.450000000000003,5.900000000000006,4
gti-com-lnv02.hci.bri.co.id,34.21815028901734,34.55,31.07,37.21,54.14,5.152615280912778,62.29763005780347,62.55,59.6,64.72,89.19,4.824768778845657,1.0,173,0.1505813504643634,0.07744706779967309,1.5822012453249639,1.4316756498962189,6.140000000000001,5.119999999999997,4
gti-com-lnv03.hci.bri.co.id,41.80456647398844,42.08,37.33,45.51,74.65,6.6368199920951705,62.316820809248554,62.1,59.24,64.73,95.61,6.361912261630206,1.0,173,0.15875825422623915,0.1020898078402296,1.7856900883411528,1.534256702418464,8.18,5.490000000000002,4
gti-com-lnv04.hci.bri.co.id,28.448034682080927,28.31,23.08,34.77,48.47,8.753898776515973,46.414913294797685,46.13,41.91,50.27,73.35,6.624579286202461,1.0,173,0.3077154142401952,0.14272523238656923,1.7038083840122238,1.580311042145613,11.690000000000005,8.360000000000007,1
gti-com-lnv05.hci.bri.co.id,8.456705202312138,8.47,7.32,9.54,25.8,1.7495950062356918,69.53537572254335,70.49,65.0,71.75,100.0,5.324867669814444,1.0,173,0.20688849432250955,0.07657782264758978,3.05083355547809,1.4381169147487618,2.219999999999999,6.75,4
gti-com-lnv06.hci.bri.co.id,33.20086705202312,33.55,28.99,36.9,58.19,6.047675110639624,43.12132947976878,43.15,40.69,45.46,61.77,4.4347681530204595,1.0,173,0.18215413173286701,0.10284395695872776,1.7526650707290532,1.4324697486189661,7.91,4.770000000000003,1
gti-com-lnv07.hci.bri.co.id,52.533815028901735,53.19,47.46,55.39,86.2,7.299244498210522,63.99722543352601,65.12,60.26,66.07,91.52,4.009669466897239,1.0,173,0.1389437354624789,0.06265380162554214,1.6408478986834794,1.4300619969073802,7.93,5.809999999999995,0
gti-com-lnv08.hci.bri.co.id,40.3228323699422,40.9,35.65,44.62,64.62,7.218930343418763,56.730578034682075,56.62,52.28,60.01,79.1,5.9895182388653545,1.0,173,0.17902835488312477,0.10557830444110193,1.602565995541762,1.3943097838989484,8.969999999999999,7.729999999999997,4
gti-com-lnv09.hci.bri.co.id,38.96768786127168,39.03,34.34,42.23,70.93,6.693137615092126,64.29595375722543,64.37,61.5,66.28,93.21,4.829491624041436,1.0,173,0.17176122019146406,0.07511346114060419,1.8202260357996325,1.449702423762946,7.8899999999999935,4.780000000000001,4
gti-com-lnv10.hci.bri.co.id,38.870115606936416,40.25,36.5,41.45,56.99,4.533553715230792,58.96329479768786,59.37,55.29,60.37,89.76,5.086092655447633,1.0,173,0.11663339932083389,0.08625862365559454,1.4661649215632915,1.522302990495704,4.950000000000003,5.079999999999998,4
gti-com-lnv11.hci.bri.co.id,38.06005780346821,38.31,34.16,41.76,56.85,6.508336469581953,77.19682080924855,77.58,73.7,80.07,100.0,5.524179698888422,1.0,173,0.17100174947681984,0.07155967876628669,1.493691898566154,1.2953901333203546,7.600000000000001,6.36999999999999,4
gti-com-lnv12.hci.bri.co.id,24.910809248554912,25.24,21.05,29.65,39.12,6.607272194554818,66.04838150289018,66.08,62.71,69.37,87.07,5.416173103416054,1.0,173,0.2652371558317845,0.08200311620321915,1.5704026155741755,1.3182760579256576,8.599999999999998,6.660000000000004,4
gti-com-lnv13.hci.bri.co.id,26.60907514450867,27.11,24.22,28.9,55.46,3.3196238684588053,68.46809248554914,69.42,64.5,70.42,100.0,5.21426992733572,1.0,173,0.12475532691123532,0.0761562026638356,2.0842513202284416,1.4605343360647294,4.68,5.920000000000002,4
gti-com-lnv14.hci.bri.co.id,22.23878612716763,22.04,19.17,24.62,39.32,4.208899240926485,79.49624277456648,80.04,75.33,81.77,100.0,5.9632842021491435,1.0,173,0.18925939648229073,0.07501340936400831,1.7680821145163765,1.2579210854477434,5.449999999999999,6.439999999999998,4
gti-com-lnv15.hci.bri.co.id,38.849075144508674,38.88,33.58,44.48,71.7,8.500416765440441,83.83052023121387,83.92,78.74,88.74,100.0,6.600961369895735,1.0,173,0.21880615519986135,0.07874174407709211,1.8456037816420146,1.1928829705957795,10.899999999999999,10.0,4
gti-com-lnv16.hci.bri.co.id,48.99606936416185,48.12,42.81,53.6,83.5,9.406447358176065,67.52265895953757,67.79,63.75,71.85,94.31,6.612279968150262,1.0,173,0.19198371380085452,0.09792683034168752,1.7042183400343547,1.3967163238715843,10.79,8.099999999999994,0
gti-com-lnv17.hci.bri.co.id,27.28872832369942,27.44,24.55,29.33,44.36,3.644962053771931,57.735433526011555,58.56,54.67,59.73,81.09,3.5886854596640747,1.0,173,0.13357024228228304,0.06215741773286008,1.6255795973268092,1.4045101083975842,4.779999999999998,5.059999999999995,4
gti-com-lnv19.hci.bri.co.id,29.524161849710985,29.44,25.7,32.01,69.01,7.386325676336521,66.48439306358381,67.1,63.2,69.47,95.37,4.9835513519137065,1.0,173,0.2501790131735383,0.0749582138344495,2.3374075901387714,1.4344719956876317,6.309999999999999,6.269999999999996,4
gti-com-lnv20.hci.bri.co.id,22.006589595375722,21.82,17.26,26.37,43.22,7.004346361558786,60.72115606936416,60.71,57.29,63.88,80.71,5.773090124531735,1.0,173,0.3182840453856885,0.09507543166564397,1.9639571962155318,1.3291907668523602,9.11,6.590000000000003,4
gti-com-lnv21.hci.bri.co.id,27.412890173410407,27.38,23.12,31.83,55.84,7.671920848477899,57.991502890173415,58.02,54.54,61.0,77.0,5.108960555802659,1.0,173,0.27986545015670794,0.08809843341149838,2.036997910353975,1.3277807292876274,8.709999999999997,6.460000000000001,4
gti-com-lnv22.hci.bri.co.id,69.84335260115607,69.77,63.75,76.24,100.0,11.146618857327594,69.56329479768786,69.56,65.55,72.92,100.0,6.412514663823534,1.0,173,0.15959455613451023,0.09218244596483191,1.4317754843621977,1.437539729692674,12.489999999999995,7.3700000000000045,0
gti-com-lnv23.hci.bri.co.id,33.560115606936414,33.56,29.22,38.57,49.42,6.6801262859215225,63.89526011560693,63.6,60.02,67.25,99.25,6.559931540914233,1.0,173,0.19904956121607734,0.10266695102336577,1.4725813396717133,1.55332335795214,9.350000000000001,7.229999999999997,4
gti-com-lnv24.hci.bri.co.id,27.226242774566476,27.59,24.77,28.84,56.19,4.539834195442953,70.42884393063584,71.27,65.35,71.98,100.0,5.866289965392003,1.0,173,0.16674479225917507,0.08329385572720194,2.0638176359938343,1.4198728023775073,4.07,6.63000000000001,4
